Fecha de Aprobación;Alias;Departamento;Area;Status;Horas Julio Argüello;Horas Ignacio Ibaseta Canga;Horas Daniel Sio Rajo;Descripción del Proyecto;;;
26-04-2024;Substitutes;Proximidad Digital;Ocado;Closed;78;00 h;343;00 h;307;00 h;
26-04-2024;CFC;Proximidad Digital;Ocado;Closed;97;06 h;70;00 h;105;00 h;
26-04-2024;Yoda;Proximidad Digital;Ocado;Closed;78;00 h;58;52 h;58;52 h;
07-05-2024;DataFeeds;Clientes y Cajas;Ocado;Closed;40;00 h;0;00 h;0;00 h;
07-05-2024;PIM;Clientes y Cajas;PIM;Closed;80;00 h;0;00 h;0;00 h;
21-05-2024;GCloud;Producción;Administración;Closed;80;00 h;0;00 h;0;00 h;Proyecto enfocado en la gestión de recursos en Google Cloud Platform (GCP)...
07-05-2024;Cashiers;Clientes y Cajas;Data;Closed;40;00 h;0;00 h;0;00 h;
30-05-2024;Paquetería;Proximidad Digital;Ocado;Closed;26;00 h;40;86 h;328;00 h;
07-06-2024;Liferay;Proximidad Digital;hybris;Closed;96;00 h;376;00 h;0;00 h;
23-10-2024;Google Shopping;Proximidad Digital;Ocado;Closed;40;00 h;96;00 h;88;00 h;Hoja de cálculo de planificación trimestral que incluye estimaciones...
04-10-2024;Ciberataque;Proximidad Digital;Ciberataque;Closed;91;00 h;0;00 h;85;00 h;
15-10-2024;TPN;Proximidad Digital;Ocado;Closed;112;00 h;0;00 h;0;00 h;
25-11-2024;Woosmap;Proximidad Digital;Ocado;Closed;30;00 h;76;00 h;38;00 h;Este proyecto busca diseñar e implementar un sistema completo de geolocalización...
15-12-2024;Mantenimiento APIs Ocado;Proximidad Digital;Ocado;Closed;0;00 h;0;00 h;176;00 h;
24-01-2025;Reglas de presentación;Proximidad Digital;Ocado;Closed;40;00 h;24;00 h;268;00 h;Proyecto para portar la funcionalidad actual de reglas de presentación existente en hybris a Smart...
31-01-2025;Arquitectura y Diseño Smart v2;Proximidad Digital;Smart;Closed;76;00 h;0;00 h;0;00 h;
17-02-2025;Assessment de Valiuz;Clientes y Cajas;Data;Closed;76;00 h;0;00 h;0;00 h;
17-02-2025;Ticket Digital;Clientes y Cajas;Data;Closed;32;00 h;192;00 h;0;00 h;Proyecto de ampliación que incorpora un nuevo mecanismo de autenticación Identity contra Google Cloud...
07-05-2025;Administración Plataforma GC;Clientes y Cajas;Administración;Open;452;00 h;0;00 h;0;00 h;Propuesta de Proyecto para la Administración de la Plataforma GCloud que incluye la estandarización de accesos...
01-04-2025;Valiuz W1;Clientes y Cajas;Data;Closed;144;00 h;116;00 h;116;00 h;Carpeta principal que contiene la Propuesta de Proyecto macro para la integración de la información solicitada por Valiuz...
14-03-2025;Reglas de Presentación Ampliación;Proximidad Digital;Ocado;Closed;48;00 h;52;00 h;164;00 h;Ampliación del proyecto original, centrada en la optimización y expansión del sistema...
21-02-2025;Evolutivos CFC;Proximidad Digital;Ocado;Closed;64;00 h;175;00 h;100;00 h;
15-04-2025;Ventas eCommerce tiempo real;Clientes y Cajas;Data;Closed;19;08 h;375;71 h;0;00 h;El objetivo es la sincronización en tiempo real de los pedidos (cobrados) del e-commerce...
19-03-2025;Ticket Digital - Ampliación;Clientes y Cajas;Data;Open;16;00 h;121;00 h;0;00 h;Proyecto de ampliación que incorpora un nuevo mecanismo de autenticación Identity contra Google Cloud...
07-05-2025;Ventas eCommerce tiempo real - Dataflow;Clientes y Cajas;Data;Open;20;00 h;469;14 h;0;00 h;Carpeta que contiene la estimación enfocada en la implementación del Dataflow...
20-05-2025;Smart V2 ARQ y ANA;Proximidad Digital;Smart;Open;100;00 h;0;00 h;0;00 h;
03-06-2025;Evolutivos CFC v2;Proximidad Digital;Ocado;Closed;14;00 h;35;00 h;80;00 h;
03-06-2025;Reglas de Presentación Ampliación v2;Proximidad Digital;Ocado;Closed;0;00 h;0;00 h;110;00 h;Esta ampliación se centra en asegurar una puesta en marcha exitosa...
03-06-2025;Hub de Transmisiones;Proximidad Digital;Smart;Open;40;00 h;0;00 h;260;00 h;
;Google Shopping - Flex;Proximidad Digital;Ocado;Rejected;18;00 h;0;00 h;128;00 h;
09-07-2025;Alcampo - SS - Smart V2 UPC;Proximidad Digital;Smart;Open;100;00 h;0;00 h;240;00 h;
09-07-2025;Valiuz W2;Clientes y Cajas;Data;Closed;168;00 h;164;00 h;164;00 h;
29-09-2025;Alcampo - SS - Smart V2 UPC - Fase II;Proximidad Digital;Smart;Open;48;00 h;0;00 h;336;00 h;Documento de estimación que detalla la Consolidación de modelos v1...
20-09-2025;Evolutivos CFC v3;Proximidad Digital;Ocado;Open;0;00 h;36;00 h;36;00 h;
22-10-2025;Woosmap - Fase II;Proximidad Digital;Ocado;Open;32;00 h;248;00 h;0;00 h;Segunda fase del proyecto de Woosmap que busca implementar un sistema completo...
22-10-2025;Valiuz W3;Clientes y Cajas;Data;Open;315;00 h;18;57 h;44;57 h;
29-09-2025;Reglas de Presentación Ampliación v3;Proximidad Digital;Ocado;Open;0;00 h;0;00 h;64;00 h;
